archetype,tariff,scenario,year,annual_bill_eur,baseline_bill_eur,c_star,c_star_avg,worst_month_eur_2023,worst_month_eur_2024,worst_month_eur_2025,loss_month_prob_2023,loss_month_prob_2024,loss_month_prob_2025,worst_month_eur_pooled,loss_month_prob_pooled
A,T1,automated,2023,1644.9999999999998,1644.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,T1,automated,2024,1407.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,T1,automated,2025,1375.4999999999998,1375.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,T1,passive,2023,1644.9999999999998,1644.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,T1,passive,2024,1407.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,T1,passive,2025,1375.4999999999998,1375.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,T2,automated,2023,1290.5686676977132,1644.9999999999998,354.4313323022866,180.17583966756447,-18.230792634063732,2.252703251794884,11.787572257382493,0.0,0.16666666666666666,0.25,11.787572257382493,0.1388888888888889
A,T2,automated,2024,1267.7465475680144,1407.0,139.25345243198558,180.17583966756447,-18.230792634063732,2.252703251794884,11.787572257382493,0.0,0.16666666666666666,0.25,11.787572257382493,0.1388888888888889
A,T2,automated,2025,1328.6572657315785,1375.4999999999998,46.84273426842128,180.17583966756447,-18.230792634063732,2.252703251794884,11.787572257382493,0.0,0.16666666666666666,0.25,11.787572257382493,0.1388888888888889
A,T2,passive,2023,1321.387356978535,1644.9999999999998,323.6126430214647,146.19990636961938,-16.298483675159616,4.459625494945556,13.57408624710851,0.0,0.16666666666666666,0.4166666666666667,13.57408624710851,0.19444444444444445
A,T2,passive,2024,1300.6462619823978,1407.0,106.35373801760215,146.19990636961938,-16.298483675159616,4.459625494945556,13.57408624710851,0.0,0.16666666666666666,0.4166666666666667,13.57408624710851,0.19444444444444445
A,T2,passive,2025,1366.8666619302085,1375.4999999999998,8.633338069791307,146.19990636961938,-16.298483675159616,4.459625494945556,13.57408624710851,0.0,0.16666666666666666,0.4166666666666667,13.57408624710851,0.19444444444444445
A,T3_AWA,automated,2023,1419.873917697713,1644.9999999999998,225.1260823022867,50.870589667564595,-7.096778069877132,13.412941105996083,22.925897771222026,0.0,0.25,0.8333333333333334,22.925897771222026,0.3611111111111111
A,T3_AWA,automated,2024,1397.0517975680143,1407.0,9.948202431985692,50.870589667564595,-7.096778069877132,13.412941105996083,22.925897771222026,0.0,0.25,0.8333333333333334,22.925897771222026,0.3611111111111111
A,T3_AWA,automated,2025,1457.9625157315784,1375.4999999999998,-82.4625157315786,50.870589667564595,-7.096778069877132,13.412941105996083,22.925897771222026,0.0,0.25,0.8333333333333334,22.925897771222026,0.3611111111111111
A,T3_AWA,passive,2023,1450.6926069785352,1644.9999999999998,194.30739302146458,16.89465636961927,-5.164469110973016,15.619863349146755,24.712411760948072,0.0,0.5,1.0,24.712411760948072,0.5
A,T3_AWA,passive,2024,1429.951511982398,1407.0,-22.95151198239796,16.89465636961927,-5.164469110973016,15.619863349146755,24.712411760948072,0.0,0.5,1.0,24.712411760948072,0.5
A,T3_AWA,passive,2025,1496.1719119302086,1375.4999999999998,-120.67191193020881,16.89465636961927,-5.164469110973016,15.619863349146755,24.712411760948072,0.0,0.5,1.0,24.712411760948072,0.5
A,T3_OCT,automated,2023,1412.1286676977131,1644.9999999999998,232.87133230228665,58.615839667564536,-8.100792634063708,12.38270325179488,21.91757225738246,0.0,0.25,0.75,21.91757225738246,0.3333333333333333
