datetime,load_C,load_B,load_ev,load_A,load_hp,year,month,hour,dayofweek
2023-01-01 00:00:00,0.37850041581434696,0.37850041581434696,0.0,0.37850041581434696,0.0,2023,1,0,6
2023-01-01 01:00:00,0.32616153641529155,0.32616153641529155,0.0,0.32616153641529155,0.0,2023,1,1,6
2023-01-01 02:00:00,0.2948342014745853,0.2948342014745853,0.0,0.2948342014745853,0.0,2023,1,2,6
2023-01-01 03:00:00,0.2868207766478891,0.2868207766478891,0.0,0.27862242574617296,0.00819835090171609,2023,1,3,6
2023-01-01 04:00:00,0.3288614540227841,0.3288614540227841,0.0,0.2714729977107713,0.05738845631201278,2023,1,4,6
2023-01-01 05:00:00,0.3063540168343872,0.3063540168343872,0.0,0.2735606132275227,0.03279340360686451,2023,1,5,6
2023-01-01 06:00:00,0.36963621525807455,0.36963621525807455,0.0,0.30404940804434555,0.06558680721372902,2023,1,6,6
2023-01-01 07:00:00,0.4704212472431511,0.4704212472431511,0.0,0.3720410364225577,0.09838021082059338,2023,1,7,6
2023-01-01 08:00:00,0.5133824598189968,0.5133824598189968,0.0,0.47239070531041616,0.0409917545085806,2023,1,8,6
2023-01-01 09:00:00,0.5898890159074792,0.5898890159074792,0.0,0.5652939632023308,0.024595052705148418,2023,1,9,6
2023-01-01 10:00:00,0.6456278540289517,0.6456278540289517,0.0,0.6456278540289517,0.0,2023,1,10,6
2023-01-01 11:00:00,0.7361421460470945,0.7361421460470945,0.0,0.7361421460470945,0.0,2023,1,11,6
2023-01-01 12:00:00,0.7215113678439207,0.7215113678439207,0.0,0.7215113678439207,0.0,2023,1,12,6
2023-01-01 13:00:00,0.6678229629329904,0.6678229629329904,0.0,0.6678229629329904,0.0,2023,1,13,6
2023-01-01 14:00:00,0.639658370754221,0.639658370754221,0.0,0.631460019852505,0.00819835090171609,2023,1,14,6
2023-01-01 15:00:00,0.7273996037530441,0.7273996037530441,0.0,0.6208210420307345,0.10657856172230962,2023,1,15,6
2023-01-01 16:00:00,0.857867076501613,0.857867076501613,0.0,0.65290830395871,0.204958772542903,2023,1,16,6
2023-01-01 17:00:00,1.0152427077937638,1.0152427077937638,0.0,0.7528954789388481,0.2623472288549158,2023,1,17,6
2023-01-01 18:00:00,2.762314113903991,1.0499853467807037,1.7123287671232876,0.7876381179257879,0.2623472288549158,2023,1,18,6
2023-01-01 19:00:00,2.702156099385394,0.9898273322621066,1.7123287671232876,0.743876805210623,0.2459505270514836,2023,1,19,6
2023-01-01 20:00:00,2.6143139063006697,0.901985139177382,1.7123287671232876,0.6642329630276145,0.2377521761497675,2023,1,20,6
2023-01-01 21:00:00,2.502212950039646,0.7898841829163583,1.7123287671232876,0.5849254103734552,0.204958772542903,2023,1,21,6
2023-01-01 22:00:00,0.7457102106701108,0.7457102106701108,0.0,0.5161563854220594,0.2295538252480514,2023,1,22,6
2023-01-01 23:00:00,0.6453037656280312,0.6453037656280312,0.0,0.4157499403799798,0.2295538252480514,2023,1,23,6
2023-01-02 00:00:00,0.5377202406815531,0.5377202406815531,0.0,0.32456311723693404,0.2131571234446191,2023,1,0,0
2023-01-02 01:00:00,0.5577425888206327,0.5577425888206327,0.0,0.2789986581622846,0.2787439306583481,2023,1,1,0
2023-01-02 02:00:00,0.469103163352062,0.469103163352062,0.0,0.26414439080915897,0.204958772542903,2023,1,2,0
2023-01-02 03:00:00,0.4257844152534157,0.4257844152534157,0.0,0.2618173972190933,0.1639670180343224,2023,1,3,0
2023-01-02 04:00:00,0.4290548184741658,0.4290548184741658,0.0,0.27328615134155954,0.15576866713260631,2023,1,4,0
2023-01-02 05:00:00,0.4995918831499706,0.4995918831499706,0.0,0.3110298124104998,0.18856207073947082,2023,1,5,0
2023-01-02 06:00:00,0.558045496991149,0.558045496991149,0.0,0.4022768298585427,0.15576866713260631,2023,1,6,0
2023-01-02 07:00:00,0.5603407072555372,0.5603407072555372,0.0,0.43736544372979536,0.1229752635257418,2023,1,7,0
2023-01-02 08:00:00,0.5259636784655829,0.5259636784655829,0.0,0.41118676584155717,0.1147769126240257,2023,1,8,0
2023-01-02 09:00:00,0.4380678411742887,0.4380678411742887,0.0,0.3970760866657081,0.0409917545085806,2023,1,9,0
2023-01-02 10:00:00,0.40900112655001053,0.40900112655001053,0.0,0.4008027756482944,0.00819835090171609,2023,1,10,0
2023-01-02 11:00:00,0.4395830861173203,0.4395830861173203,0.0,0.4395830861173203,0.0,2023,1,11,0
2023-01-02 12:00:00,0.49194160688276284,0.49194160688276284,0.0,0.45914820327589834,0.03279340360686451,2023,1,12,0
2023-01-02 13:00:00,0.47975412411236273,0.47975412411236273,0.0,0.45515907140721434,0.024595052705148418,2023,1,13,0
