year,p_scenario,q_scenario,p,q,M_t,I_t,effective_ceiling,adoption_unconstrained,adoption_constrained,adoption_rate_of_M,adoption_rate_of_I,infra_wedge,infra_wedge_pct
2031,low,central,0.003,0.3,7340000.0,3751279.792721624,3751279.792721624,538992.1825149726,538992.1825149726,0.07343217745435594,0.14368221308385096,0.0,0.0
2032,low,central,0.003,0.3,8280000.0,4229999.999999951,4229999.999999951,751293.6067256304,751293.6067256304,0.0907359428412597,0.1776107817318296,0.0,0.0
2033,low,central,0.003,0.3,9220000.0,4661807.654819352,4661807.654819352,1025478.3770258778,1025478.3770258778,0.11122325130432514,0.21997440755963918,0.0,0.0
2034,low,central,0.003,0.3,10150000.0,5034861.1857559215,5034861.1857559215,1374330.2802854902,1374330.2802854902,0.13540199805768377,0.2729628940264719,0.0,0.0
2035,low,central,0.003,0.3,11090000.0,5345335.333549026,5345335.333549026,1809836.9343683925,1809836.9343683925,0.16319539534430952,0.3385824876148143,0.0,0.0
2025,low,high,0.003,0.5,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,low,high,0.003,0.5,2300000.0,1422956.605643888,1422956.605643888,43068.20046059249,43068.20046059249,0.01872530454808369,0.0302666998345351,0.0,0.0
2027,low,high,0.003,0.5,3100000.0,1808308.7212346396,1808308.7212346396,113559.71200720256,113559.71200720256,0.03663216516361373,0.06279885213940051,0.0,0.0
2028,low,high,0.003,0.5,4100000.0,2250713.7307305713,2250713.7307305713,228176.4432109845,228176.4432109845,0.05565279102706939,0.10137959354649669,0.0,0.0
2029,low,high,0.003,0.5,5260000.0,2736678.6875862107,2736678.6875862107,412552.310472843,412552.310472843,0.07843199818875342,0.15074926857296497,0.0,0.0
2030,low,high,0.003,0.5,6410000.0,3245270.381212191,3245270.381212191,704090.8515273789,704090.8515273789,0.10984256654093275,0.21695907237916584,0.0,0.0
2031,low,high,0.003,0.5,7340000.0,3751279.792721624,3751279.792721624,1152778.009718571,1152778.009718571,0.15705422475729852,0.30730259362557677,0.0,0.0
2032,low,high,0.003,0.5,8280000.0,4229999.999999951,4229999.999999951,1815369.5106466433,1815369.5106466433,0.21924752544041587,0.42916536894720203,0.0,0.0
2033,low,high,0.003,0.5,9220000.0,4661807.654819352,4661807.654819352,2736458.5711170575,2736458.5711170575,0.2967959404682275,0.5869951687706637,0.0,0.0
2034,low,high,0.003,0.5,10150000.0,5034861.1857559215,5034861.1857559215,3914841.942004099,3914841.942004099,0.38569871349794077,0.7775471453075095,0.0,0.0
