datetime,load_D,load_A,load_ev,year,month,hour,dayofweek
2023-01-01 00:00:00,0.37850041581434696,0.37850041581434696,0.0,2023,1,0,6
2023-01-01 01:00:00,0.32616153641529155,0.32616153641529155,0.0,2023,1,1,6
2023-01-01 02:00:00,0.2948342014745853,0.2948342014745853,0.0,2023,1,2,6
2023-01-01 03:00:00,0.27862242574617296,0.27862242574617296,0.0,2023,1,3,6
2023-01-01 04:00:00,0.2714729977107713,0.2714729977107713,0.0,2023,1,4,6
2023-01-01 05:00:00,0.2735606132275227,0.2735606132275227,0.0,2023,1,5,6
2023-01-01 06:00:00,0.30404940804434555,0.30404940804434555,0.0,2023,1,6,6
2023-01-01 07:00:00,0.3720410364225577,0.3720410364225577,0.0,2023,1,7,6
2023-01-01 08:00:00,0.47239070531041616,0.47239070531041616,0.0,2023,1,8,6
2023-01-01 09:00:00,0.5652939632023308,0.5652939632023308,0.0,2023,1,9,6
2023-01-01 10:00:00,0.6456278540289517,0.6456278540289517,0.0,2023,1,10,6
2023-01-01 11:00:00,0.7361421460470945,0.7361421460470945,0.0,2023,1,11,6
2023-01-01 12:00:00,0.7215113678439207,0.7215113678439207,0.0,2023,1,12,6
2023-01-01 13:00:00,0.6678229629329904,0.6678229629329904,0.0,2023,1,13,6
2023-01-01 14:00:00,0.631460019852505,0.631460019852505,0.0,2023,1,14,6
2023-01-01 15:00:00,0.6208210420307345,0.6208210420307345,0.0,2023,1,15,6
2023-01-01 16:00:00,0.65290830395871,0.65290830395871,0.0,2023,1,16,6
2023-01-01 17:00:00,0.7528954789388481,0.7528954789388481,0.0,2023,1,17,6
2023-01-01 18:00:00,2.4999668850490755,0.7876381179257879,1.7123287671232876,2023,1,18,6
2023-01-01 19:00:00,2.4562055723339107,0.743876805210623,1.7123287671232876,2023,1,19,6
2023-01-01 20:00:00,2.376561730150902,0.6642329630276145,1.7123287671232876,2023,1,20,6
2023-01-01 21:00:00,2.2972541774967428,0.5849254103734552,1.7123287671232876,2023,1,21,6
2023-01-01 22:00:00,0.5161563854220594,0.5161563854220594,0.0,2023,1,22,6
2023-01-01 23:00:00,0.4157499403799798,0.4157499403799798,0.0,2023,1,23,6
2023-01-02 00:00:00,0.32456311723693404,0.32456311723693404,0.0,2023,1,0,0
2023-01-02 01:00:00,0.2789986581622846,0.2789986581622846,0.0,2023,1,1,0
2023-01-02 02:00:00,0.26414439080915897,0.26414439080915897,0.0,2023,1,2,0
2023-01-02 03:00:00,0.2618173972190933,0.2618173972190933,0.0,2023,1,3,0
2023-01-02 04:00:00,0.27328615134155954,0.27328615134155954,0.0,2023,1,4,0
2023-01-02 05:00:00,0.3110298124104998,0.3110298124104998,0.0,2023,1,5,0
2023-01-02 06:00:00,0.4022768298585427,0.4022768298585427,0.0,2023,1,6,0
2023-01-02 07:00:00,0.43736544372979536,0.43736544372979536,0.0,2023,1,7,0
2023-01-02 08:00:00,0.41118676584155717,0.41118676584155717,0.0,2023,1,8,0
2023-01-02 09:00:00,0.3970760866657081,0.3970760866657081,0.0,2023,1,9,0
2023-01-02 10:00:00,0.4008027756482944,0.4008027756482944,0.0,2023,1,10,0
2023-01-02 11:00:00,0.4395830861173203,0.4395830861173203,0.0,2023,1,11,0
2023-01-02 12:00:00,0.45914820327589834,0.45914820327589834,0.0,2023,1,12,0
2023-01-02 13:00:00,0.45515907140721434,0.45515907140721434,0.0,2023,1,13,0
2023-01-02 14:00:00,0.444477645943041,0.444477645943041,0.0,2023,1,14,0
2023-01-02 15:00:00,0.45920069185311785,0.45920069185311785,0.0,2023,1,15,0
2023-01-02 16:00:00,0.5245708407319347,0.5245708407319347,0.0,2023,1,16,0
2023-01-02 17:00:00,0.6553592530186868,0.6553592530186868,0.0,2023,1,17,0
2023-01-02 18:00:00,2.4407827379682647,0.7284539708449771,1.7123287671232876,2023,1,18,0
2023-01-02 19:00:00,2.4335611845524783,0.7212324174291909,1.7123287671232876,2023,1,19,0
2023-01-02 20:00:00,2.370452418542203,0.6581236514189152,1.7123287671232876,2023,1,20,0
2023-01-02 21:00:00,2.299890274566754,0.5875615074434667,1.7123287671232876,2023,1,21,0
2023-01-02 22:00:00,0.5195756777998767,0.5195756777998767,0.0,2023,1,22,0
2023-01-02 23:00:00,0.4171179750673635,0.4171179750673635,0.0,2023,1,23,0
2023-01-03 00:00:00,0.32502104472652477,0.32502104472652477,0.0,2023,1,0,1
2023-01-03 01:00:00,0.27939229856178244,0.27939229856178244,0.0,2023,1,1,1
2023-01-03 02:00:00,0.26451707325934753,0.26451707325934753,0.0,2023,1,2,1
2023-01-03 03:00:00,0.262186796504078,0.262186796504078,0.0,2023,1,3,1
2023-01-03 04:00:00,0.2736717319407636,0.2736717319407636,0.0,2023,1,4,1
2023-01-03 05:00:00,0.3114686457024572,0.3114686457024572,0.0,2023,1,5,1
