datetime,load_A_auto,load_hp_auto,load_B_auto,load_ev_auto,load_C_auto,load_D_auto
2023-01-01 00:00:00,0.3785004158143469,0.2295538252480514,0.6080542410623984,0.0,0.3785004158143469,0.6080542410623984
2023-01-01 01:00:00,0.3261615364152915,0.0,0.3261615364152915,0.0,0.3261615364152915,0.3261615364152915
2023-01-01 02:00:00,0.2948342014745853,0.0,0.2948342014745853,0.0,0.2948342014745853,0.2948342014745853
2023-01-01 03:00:00,0.2786224257461729,0.0,0.2786224257461729,0.0,0.2786224257461729,0.2786224257461729
2023-01-01 04:00:00,0.2714729977107713,0.0573884563120127,0.328861454022784,0.0,0.2714729977107713,0.328861454022784
2023-01-01 05:00:00,1.2324647228165637,0.1065785617223095,1.3390432845388731,0.0,1.2324647228165637,1.3390432845388731
2023-01-01 06:00:00,0.3040494080443455,0.0409917545085806,0.3450411625529261,0.0,0.3040494080443455,0.3450411625529261
2023-01-01 07:00:00,0.3720410364225577,0.0983802108205933,0.470421247243151,0.0,0.3720410364225577,0.470421247243151
2023-01-01 08:00:00,0.4723907053104161,0.0,0.4723907053104161,0.0,0.4723907053104161,0.4723907053104161
2023-01-01 09:00:00,0.5652939632023308,0.0245950527051484,0.5898890159074792,0.0,0.5652939632023308,0.5898890159074792
2023-01-01 10:00:00,0.6456278540289517,0.0,0.6456278540289517,0.0,0.6456278540289517,0.6456278540289517
2023-01-01 11:00:00,0.7361421460470945,0.0,0.7361421460470945,0.0,0.7361421460470945,0.7361421460470945
2023-01-01 12:00:00,0.7215113678439207,0.008198350901716,0.7297097187456367,0.0,0.7215113678439207,0.7297097187456367
2023-01-01 13:00:00,0.6678229629329904,0.0,0.6678229629329904,0.0,0.6678229629329904,0.6678229629329904
2023-01-01 14:00:00,0.631460019852505,0.204958772542903,0.8364187923954081,0.0,0.631460019852505,0.8364187923954081
2023-01-01 15:00:00,0.6208210420307345,0.1065785617223096,0.7273996037530441,0.0,0.6208210420307345,0.7273996037530441
2023-01-01 16:00:00,0.65290830395871,0.2623472288549158,0.9152555328136258,0.0,0.65290830395871,0.9152555328136258
2023-01-01 17:00:00,0.7528954789388481,0.2623472288549158,1.0152427077937638,0.0,0.7528954789388481,1.0152427077937638
2023-01-01 18:00:00,0.5479120905285276,0.0,0.5479120905285276,0.0,0.5479120905285276,0.5479120905285276
2023-01-01 19:00:00,0.5041507778133628,0.2459505270514836,0.7501013048648464,0.0,0.5041507778133628,0.7501013048648464
2023-01-01 20:00:00,0.42450693563035424,0.0,0.42450693563035424,0.0,0.42450693563035424,0.42450693563035424
2023-01-01 21:00:00,0.345199382976195,0.4427109486926705,0.7879103316688656,-2.220446049250313e-16,0.3451993829761948,0.7879103316688654
2023-01-01 22:00:00,0.5161563854220594,0.0,0.5161563854220594,0.0,0.5161563854220594,0.5161563854220594
2023-01-01 23:00:00,0.4157499403799798,0.2295538252480514,0.6453037656280312,6.8493150684931505,7.265065008873131,7.494618834121182
2023-01-02 00:00:00,0.324563117236934,0.5082977559063994,0.8328608731433333,0.0,0.324563117236934,0.8328608731433333
2023-01-02 01:00:00,0.2789986581622846,0.49190105410296725,0.7708997122652519,0.0,0.2789986581622846,0.7708997122652519
2023-01-02 02:00:00,0.2641443908091589,0.0,0.2641443908091589,0.0,0.2641443908091589,0.2641443908091589
2023-01-02 03:00:00,1.2207215068081343,0.5246944577098317,1.7454159645179659,0.0,1.2207215068081343,1.7454159645179659
2023-01-02 04:00:00,0.2732861513415595,0.1557686671326063,0.42905481847416577,0.0,0.2732861513415595,0.42905481847416577
2023-01-02 05:00:00,0.3110298124104998,0.1885620707394708,0.4995918831499706,0.0,0.3110298124104998,0.4995918831499706
2023-01-02 06:00:00,0.4022768298585427,0.1147769126240257,0.5170537424825684,0.0,0.4022768298585427,0.5170537424825684
2023-01-02 07:00:00,0.4373654437297953,0.1229752635257418,0.5603407072555371,0.0,0.4373654437297953,0.5603407072555371
2023-01-02 08:00:00,0.4111867658415571,0.0,0.4111867658415571,0.0,0.4111867658415571,0.4111867658415571
2023-01-02 09:00:00,0.3970760866657081,0.0409917545085806,0.4380678411742887,0.0,0.3970760866657081,0.4380678411742887
2023-01-02 10:00:00,0.4008027756482944,0.0,0.4008027756482944,0.0,0.4008027756482944,0.4008027756482944
2023-01-02 11:00:00,0.4395830861173203,0.0409917545085805,0.4805748406259008,0.0,0.4395830861173203,0.4805748406259008
2023-01-02 12:00:00,0.4591482032758983,0.0,0.4591482032758983,0.0,0.4591482032758983,0.4591482032758983
2023-01-02 13:00:00,0.4551590714072143,0.057388456312012906,0.5125475277192272,0.0,0.4551590714072143,0.5125475277192272
2023-01-02 14:00:00,0.444477645943041,0.1393719653291739,0.5838496112722149,0.0,0.444477645943041,0.5838496112722149
2023-01-02 15:00:00,0.4592006918531178,0.0737851581154451,0.5329858499685629,0.0,0.4592006918531178,0.5329858499685629
2023-01-02 16:00:00,0.5245708407319347,0.0,0.5245708407319347,0.0,0.5245708407319347,0.5245708407319347
2023-01-02 17:00:00,0.6553592530186868,0.2377521761497675,0.8931114291684543,0.0,0.6553592530186868,0.8931114291684543
2023-01-02 18:00:00,0.48872794344771686,0.0,0.48872794344771686,0.0,0.48872794344771686,0.48872794344771686
2023-01-02 19:00:00,0.48150639003193063,0.3443307378720769,0.8258371279040075,-2.220446049250313e-16,0.4815063900319304,0.8258371279040073
2023-01-02 20:00:00,0.4183976240216549,0.31153733426521263,0.7299349582868675,2.220446049250313e-16,0.41839762402165515,0.7299349582868677
2023-01-02 21:00:00,0.34783548004620646,0.475504352299535,0.8233398323457415,-2.220446049250313e-16,0.34783548004620624,0.8233398323457413
2023-01-02 22:00:00,0.5195756777998767,0.42631424688923814,0.9458899246891148,0.0,0.5195756777998767,0.9458899246891148
2023-01-02 23:00:00,0.4171179750673635,0.5574878613166963,0.9746058363840597,0.0,0.4171179750673635,0.9746058363840597
2023-01-03 00:00:00,0.3250210447265247,0.0,0.3250210447265247,0.0,0.3250210447265247,0.3250210447265247
2023-01-03 01:00:00,0.2793922985617824,0.6066779667269929,0.8860702652887753,0.0,0.2793922985617824,0.8860702652887753
2023-01-03 02:00:00,0.2645170732593475,0.0,0.2645170732593475,0.0,0.2645170732593475,0.2645170732593475
2023-01-03 03:00:00,0.262186796504078,0.7296532302527347,0.9918400267568126,0.0,0.262186796504078,0.9918400267568126
2023-01-03 04:00:00,0.2736717319407636,2.320133305185662,2.5938050371264256,6.8493150684931505,7.122986800433914,9.443120105619576
2023-01-03 05:00:00,0.3114686457024572,0.9510087045990698,1.262477350301527,0.0,0.3114686457024572,1.262477350301527
2023-01-03 06:00:00,0.4028444039574911,0.8772235464836248,1.2800679504411159,0.0,0.4028444039574911,1.2800679504411159
2023-01-03 07:00:00,0.4379825245040556,0.9346120027956376,1.3725945272996931,0.0,0.4379825245040556,1.3725945272996931
2023-01-03 08:00:00,0.4117669110072732,0.9920004591076504,1.4037673701149236,0.0,0.4117669110072732,1.4037673701149236
2023-01-03 09:00:00,0.397636323013853,0.0,0.397636323013853,0.0,0.397636323013853,0.397636323013853
2023-01-03 10:00:00,0.4013682699978561,0.7952400374664635,1.1966083074643197,0.0,0.4013682699978561,1.1966083074643197
2023-01-03 11:00:00,0.4402032957727054,0.0,0.4402032957727054,0.0,0.4402032957727054,0.4402032957727054
2023-01-03 12:00:00,0.4597960174387218,0.7132565284493024,1.1730525458880243,0.0,0.4597960174387218,1.1730525458880243
2023-01-03 13:00:00,0.4558012572868311,2.1397695853479073,2.5955708426347384,0.0,0.4558012572868311,2.5955708426347384
2023-01-03 14:00:00,0.4451047613538081,0.9264136518939216,1.3715184132477296,0.0,0.4451047613538081,1.3715184132477296
2023-01-03 15:00:00,0.4598485800722993,0.8608268446801925,1.3206754247524919,0.0,0.4598485800722993,1.3206754247524919
2023-01-03 16:00:00,0.5253109599736215,0.0,0.5253109599736215,0.0,0.5253109599736215,0.5253109599736215
2023-01-03 17:00:00,0.6562839021903788,0.9264136518939216,1.5826975540843002,0.0,0.6562839021903788,1.5826975540843002
2023-01-03 18:00:00,0.4897557222692641,0.0,0.4897557222692641,2.220446049250313e-16,0.48975572226926434,0.48975572226926434
2023-01-03 19:00:00,0.482523979932892,1.0411905645179471,1.523714544450839,2.220446049250313e-16,0.4825239799328922,1.5237145444508393
2023-01-03 20:00:00,0.41932617349486734,0.9182153009922054,1.3375414744870726,0.0,0.41932617349486734,1.3375414744870726
2023-01-03 21:00:00,0.3486644730888365,0.9264136518939216,1.275078124982758,0.0,0.3486644730888365,1.275078124982758
2023-01-03 22:00:00,0.5203087493448286,0.9756037573042186,1.4959125066490473,0.0,0.5203087493448286,1.4959125066490473
2023-01-03 23:00:00,1.3766105981905727,2.328331656087378,3.7049422542779507,0.0,1.3766105981905727,3.7049422542779507
2023-01-04 00:00:00,0.325443830798952,0.0,0.325443830798952,0.0,0.325443830798952,0.325443830798952
2023-01-04 01:00:00,0.2797557309440602,0.9018185991887732,1.1815743301328334,0.0,0.2797557309440602,1.1815743301328334
2023-01-04 02:00:00,0.2648611560081658,0.0,0.2648611560081658,0.0,0.2648611560081658,0.2648611560081658
2023-01-04 03:00:00,0.2625278480382318,0.9264136518939216,1.1889414999321533,0.0,0.2625278480382318,1.1889414999321533
2023-01-04 04:00:00,1.2329318326219474,2.803836008386913,4.03676784100886,6.8493150684931505,8.082246901115099,10.886082909502012
2023-01-04 05:00:00,0.3118738028685464,0.8034383883681798,1.1153121912367263,0.0,0.3118738028685464,1.1153121912367263
2023-01-04 06:00:00,0.4033684223437215,0.8690251955819087,1.2723936179256303,0.0,0.4033684223437215,1.2723936179256303
2023-01-04 07:00:00,0.4385522504166737,0.0,0.4385522504166737,0.0,0.4385522504166737,0.4385522504166737
2023-01-04 08:00:00,0.4123025357549161,0.7706449847613153,1.1829475205162314,0.0,0.4123025357549161,1.1829475205162314
2023-01-04 09:00:00,0.3981535667492638,0.0,0.3981535667492638,0.0,0.3981535667492638,0.3981535667492638
2023-01-04 10:00:00,0.4018903682349475,2.0987778308393263,2.5006681990742736,0.0,0.4018903682349475,2.5006681990742736
2023-01-04 11:00:00,0.4407759104556897,0.0,0.4407759104556897,0.0,0.4407759104556897,0.4407759104556897
2023-01-04 12:00:00,0.4603941182555295,0.623074668530425,1.0834687867859545,0.0,0.4603941182555295,1.0834687867859545
2023-01-04 13:00:00,0.4563941617356426,1.1969592316505535,1.6533533933861961,0.0,0.4563941617356426,1.6533533933861961
2023-01-04 14:00:00,0.4456837518435772,0.0,0.4456837518435772,0.0,0.4456837518435772,0.4456837518435772
2023-01-04 15:00:00,0.4604467492623701,0.5574878613166963,1.0179346105790663,0.0,0.4604467492623701,1.0179346105790663
